ggs.sx: 10 route3.mx.cloudflare.net.
cameron.sx: 0 cameron-sx.mail.protection.outlook.com.
nsfw.sx: 0 .
mind.sx: 1 aspmx.l.google.com.
mind.sx: 5 alt2.aspmx.l.google.com.
mind.sx: 5 alt1.aspmx.l.google.com.
mind.sx: 10 alt3.aspmx.l.google.com.
mind.sx: 10 alt4.aspmx.l.google.com.
airfrance.sx: 10 mail.airfrance.sx.
spacex.sx: 10 spool.mail.gandi.net.
spacex.sx: 50 fb.mail.gandi.net.
tour.sx: 0 mail.tour.sx.
wanted.sx: 5 alt2.aspmx.l.google.com.
wanted.sx: 10 alt3.aspmx.l.google.com.
wanted.sx: 10 alt4.aspmx.l.google.com.
wanted.sx: 5 alt1.aspmx.l.google.com.
wanted.sx: 1 aspmx.l.google.com.
dominos.sx: 5 alt2.aspmx.l.google.com.
dominos.sx: 10 alt4.aspmx.l.google.com.
dominos.sx: 5 alt1.aspmx.l.google.com.
dominos.sx: 10 alt3.aspmx.l.google.com.
dominos.sx: 1 aspmx.l.google.com.
astro.sx: 20 mx2.simplelogin.co.
astro.sx: 10 mx1.simplelogin.co.
casper.sx: 10 MAIL.101DOMAIN.COM.
bdo.sx: 10 bdo-sx.mail.protection.outlook.com.
miller.sx: 10 spool.mail.gandi.net.
miller.sx: 50 fb.mail.gandi.net.
ofc.sx: 0 ofc.sx.
lego.sx: 10 mail.lego.sx.
neptune.sx: 5 ALT1.ASPMX.L.GOOGLE.COM.
neptune.sx: 10 ALT4.ASPMX.L.GOOGLE.COM.
neptune.sx: 5 ALT2.ASPMX.L.GOOGLE.COM.
neptune.sx: 1 ASPMX.L.GOOGLE.COM.
neptune.sx: 10 ALT3.ASPMX.L.GOOGLE.COM.
mai.sx: 20 mx2.zoho.com.
mai.sx: 30 mx3.zoho.com.
mai.sx: 10 mx.zoho.com.
orders.sx: 20 mx2.zoho.com.
orders.sx: 50 mx3.zoho.com.
orders.sx: 10 mx.zoho.com.
tomas.sx: 10 mx003.dclux.xion.oxcs.net.
tomas.sx: 10 mx001.dclux.xion.oxcs.net.
tomas.sx: 10 mx002.dclux.xion.oxcs.net.
tomas.sx: 10 mx004.dclux.xion.oxcs.net.
mkd.sx: 1 _dc-mx.4e6cd7699607.mkd.sx.
tam.sx: 1 aspmx.l.google.com.
tam.sx: 10 alt3.aspmx.l.google.com.
tam.sx: 5 alt2.aspmx.l.google.com.
tam.sx: 10 alt4.aspmx.l.google.com.
tam.sx: 5 alt1.aspmx.l.google.com.
meta.sx: 0 localhost.
