neat.com.bd: 20 mx3-hosting.jellyfish.systems.
neat.com.bd: 5 mx1-hosting.jellyfish.systems.
pendulum.com.bd: 10 mx2-hosting.jellyfish.systems.
pendulum.com.bd: 20 mx3-hosting.jellyfish.systems.
pendulum.com.bd: 5 mx1-hosting.jellyfish.systems.
physio.com.bd: 0 mail.physio.com.bd.
getfit.com.bd: 0 getfit-com-bd.mail.protection.outlook.com.
data.com.bd: 10 alt3.aspmx.l.google.com.
data.com.bd: 10 alt4.aspmx.l.google.com.
data.com.bd: 1 aspmx.l.google.com.
data.com.bd: 5 alt2.aspmx.l.google.com.
data.com.bd: 5 alt1.aspmx.l.google.com.
services.com.bd: 5 mx1-hosting.jellyfish.systems.
services.com.bd: 10 mx2-hosting.jellyfish.systems.
services.com.bd: 20 mx3-hosting.jellyfish.systems.
hawker.com.bd: 0 _dc-mx.690d1f9d9e39.hawker.com.bd.
ucc.com.bd: 10 mail.ucc.com.bd.
globe.com.bd: 50 mx3.zoho.com.
globe.com.bd: 10 mx.zoho.com.
globe.com.bd: 20 mx2.zoho.com.
mira.com.bd: 0 mira.com.bd.
cocacola.com.bd: 10 ns3-old.ko.com.
proton.com.bd: 10 mx.zoho.com.
proton.com.bd: 20 mx2.zoho.com.
proton.com.bd: 50 mx3.zoho.com.
rsb.com.bd: 0 rsb-com-bd.mail.protection.outlook.com.
gamex.com.bd: 20 mx2.titan.email.
gamex.com.bd: 10 mx1.titan.email.
giggle.com.bd: 20 mx2.zoho.com.
giggle.com.bd: 10 mx.zoho.com.
giggle.com.bd: 50 mx3.zoho.com.
neotech.com.bd: 0 mail.neotech.com.bd.
tool.com.bd: 0 mail.tool.com.bd.
csi.com.bd: 0 mx1.csi.com.bd.
amber.com.bd: 0 d240331a.ess.barracudanetworks.com.
amber.com.bd: 5 d240331b.ess.barracudanetworks.com.
servicehub.com.bd: 10 mx2-hosting.jellyfish.systems.
servicehub.com.bd: 5 mx1-hosting.jellyfish.systems.
servicehub.com.bd: 20 mx3-hosting.jellyfish.systems.
sprint.com.bd: 10 custmx.cscdns.net.
ssm.com.bd: 20 mx3-hosting.jellyfish.systems.
ssm.com.bd: 5 mx1-hosting.jellyfish.systems.
ssm.com.bd: 10 mx2-hosting.jellyfish.systems.
faster.com.bd: 20 mx3-hosting.jellyfish.systems.
faster.com.bd: 5 mx1-hosting.jellyfish.systems.
faster.com.bd: 10 mx2-hosting.jellyfish.systems.
colo.com.bd: 0 colo.com.bd.
grow.com.bd: 20 mx3-hosting.jellyfish.systems.
grow.com.bd: 5 mx1-hosting.jellyfish.systems.
grow.com.bd: 10 mx2-hosting.jellyfish.systems.
moonstone.com.bd: 0 mail.moonstone.com.bd.
grape.com.bd: 10 mx2.hostinger.com.
grape.com.bd: 5 mx1.hostinger.com.
digitalmarketing.com.bd: 10 mx2-hosting.jellyfish.systems.
digitalmarketing.com.bd: 5 mx1-hosting.jellyfish.systems.
digitalmarketing.com.bd: 20 mx3-hosting.jellyfish.systems.
zen.com.bd: 0 mail.zen.com.bd.
jiji.com.bd: 5 alt2.aspmx.l.google.com.
jiji.com.bd: 1 aspmx.l.google.com.
jiji.com.bd: 10 alt3.aspmx.l.google.com.
jiji.com.bd: 10 alt4.aspmx.l.google.com.
jiji.com.bd: 5 alt1.aspmx.l.google.com.
mindset.com.bd: 5 alt1.exonhost.com.
mindset.com.bd: 1 meghna.exonhost.com.
mindset.com.bd: 10 alt2.exonhost.com.
ipay.com.bd: 10 pollux.ipay.com.bd.
aman.com.bd: 10 mx2.hostinger.com.
aman.com.bd: 5 mx1.hostinger.com.
rit.com.bd: 5 mx1-hosting.jellyfish.systems.
rit.com.bd: 20 mx3-hosting.jellyfish.systems.
rit.com.bd: 10 mx2-hosting.jellyfish.systems.
content.com.bd: 30 alt3.aspmx.l.google.com.
content.com.bd: 30 alt4.aspmx.l.google.com.
content.com.bd: 20 alt2.aspmx.l.google.com.
content.com.bd: 20 alt1.aspmx.l.google.com.
content.com.bd: 10 aspmx.l.google.com.
tiptop.com.bd: 10 mail.tiptop.com.bd.
alia.com.bd: 52 route1.mx.cloudflare.net.
alia.com.bd: 81 route2.mx.cloudflare.net.
alia.com.bd: 40 route3.mx.cloudflare.net.
leads.com.bd: 0 _dc-mx.54b90f4a2e26.leads.com.bd.
value.com.bd: 10 mx2-hosting.jellyfish.systems.
value.com.bd: 20 mx3-hosting.jellyfish.systems.
value.com.bd: 5 mx1-hosting.jellyfish.systems.
sogood.com.bd: 10 mx2-hosting.jellyfish.systems.
sogood.com.bd: 20 mx3-hosting.jellyfish.systems.
sogood.com.bd: 5 mx1-hosting.jellyfish.systems.
nexus.com.bd: 0 _dc-mx.13b124fcedbc.nexus.com.bd.
intellect.com.bd: 0 intellect.com.bd.
growup.com.bd: 93 route2.mx.cloudflare.net.
growup.com.bd: 49 route1.mx.cloudflare.net.
growup.com.bd: 62 route3.mx.cloudflare.net.
cms.com.bd: 10 mail.cms.com.bd.
cms.com.bd: 21 mail2.cms.com.bd.
automate.com.bd: 20 mx2.zoho.com.
automate.com.bd: 10 mx.zoho.com.
automate.com.bd: 50 mx3.zoho.com.
mtt.com.bd: 0 mtt.com.bd.
mitra.com.bd: 20 mx3-hosting.jellyfish.systems.
mitra.com.bd: 10 mx2-hosting.jellyfish.systems.
mitra.com.bd: 5 mx1-hosting.jellyfish.systems.
beyond.com.bd: 5 mx1.hostinger.com.
beyond.com.bd: 10 mx2.hostinger.com.
inno.com.bd: 10 mx2.hostinger.com.
inno.com.bd: 5 mx1.hostinger.com.
linkedin.com.bd: 0 .
fma.com.bd: 20 mx20.antispam.mailspamprotection.com.
fma.com.bd: 10 mx10.antispam.mailspamprotection.com.
fma.com.bd: 30 mx30.antispam.mailspamprotection.com.
csg.com.bd: 0 csg.com.bd.
