Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	10
PT Infinys System Indonesia	PT Biznet Gio Nusantara (AS133800)	12
CLOUDFLARENET	PT Biznet Gio Nusantara (AS133800)	349
dmmxaja.com	PT Sentra Awan Maxima (AS149399)	9
mschosting.cloud	Exa Bytes Network Sdn.Bhd. (AS46015)	3
PT JC Indonesia	PT. Beon Intermedia (AS55688)	9
mysrsx.biz	PT DEWAWEB (AS139456)	17
ANEXIA Internetdienstleistungs GmbH	Tele2 SWIPnet (AS1257)	23
AUTOMATTIC	AUTOMATTIC (AS2635)	449
PT Infinys System Indonesia	AMAZON-02 (AS16509)	20
myrepublic.id	PT. Eka Mas Republik (AS63859)	1
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	42
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	25
mysrsx.biz	DIGITALOCEAN-ASN (AS14061)	85
inmotionhosting.com	INMOTION (AS22611)	17
AMAZON-02	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	3
net.id	PT. Centra Global Investama (AS38896)	12
co.id	WII (AS32097)	20
Dreamscape Networks Limited	Dreamscape Networks Limited (AS38719)	185
PT Cloud Hosting Indonesia	AMAZON-02 (AS16509)	49
hosteko.com	HAWKHOST (AS20068)	9
second-ns.com	Hetzner Online GmbH (AS24940)	2
rumahweb.biz	CV. Rumahweb Indonesia (AS58487)	276
MICROSOFT-CORP-MSN-AS-BLOCK	InterNetworX Management GmbH (AS48596)	5
PT Qwords Company International	Akamai Connected Cloud (AS63949)	18
dapurhosting.net	PT Suraloka Digital Kreatif (AS59135)	128
joker.com	CSL Computer Service Langenbach GmbH (AS5517)	19
CLOUDFLARENET	PT. Beon Intermedia (AS55688)	131
co.id	PT Baraya Telematika Nusantara (AS138102)	1
CLOUDFLARENET	Akamai International B.V. (AS20940)	6
co.id	PT. Bangun Abadi Teknologi Indonesia (AS55693)	10
PT JC Indonesia	PT. Jupiter Jala Arta (AS131775)	3
masterweb.net	PT. EXABYTES NETWORK INDONESIA (AS136170)	119
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	160
domainesia.com	GOOGLE (AS15169)	93
co.uk	SECURITYSERVICES (AS12008)	1
co.id	PT Awan Media Semesta (AS38767)	107
AS-VULTR	AS-VULTR (AS20473)	173
1stserver.net	PT. Jupiter Jala Arta (AS131775)	12
PT Cloud Hosting Indonesia	GOOGLE (AS15169)	40
Hangzhou Alibaba Advertising Co.,Ltd.	Alibaba US Technology Co., Ltd. (AS45102)	61
net.id	PT Centrin Utama (AS9326)	7
GANDI SAS	GANDI SAS (AS29169)	160
CLOUDFLARENET	PT JEMBATAN CITRA NUSANTARA (AS23951)	7
thcservers.com	AS40676 (AS40676)	1
indonesiadrive.com	PT. Cybertechtonic Pratama (AS131745)	3
AMAZON-02	CLOUDFLARENET (AS13335)	33
CLOUDFLARENET	DREAMHOST-AS (AS26347)	59
jagoanhosting.com	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	85
web.id	PT Cloud Teknologi Nusantara (AS137331)	35
dnshosting.hk	UDomain Web Hosting Company Ltd (AS23881)	2
co.id	DIGITALOCEAN-ASN (AS14061)	13
rumahweb.biz	PT. EXABYTES NETWORK INDONESIA (AS136170)	16
PT Qwords Company International	CV. Rumahweb Indonesia (AS58487)	1
CLOUDFLARENET	INCAPSULA (AS19551)	191
anymhost.id	PT Anym Network Indonesia (AS199695)	32
markmonitor.com	AMAZON-02 (AS16509)	330
CLOUDFLARENET	RENDER (AS397273)	12
rumahweb.biz	AS-VULTR (AS20473)	39
PT Infinys System Indonesia	GOOGLE (AS15169)	5
semangatriau.com	PT. Cybertechtonic Pratama (AS131745)	1
familyfxgroup.net	EN Technologies Pte Ltd (AS133210)	1
beenet.beenet	PT SOLUSI TRIMEGAH PERSADA (AS136065)	3
rumahweb.biz	PT Bali Towerindo Sentra, Tbk (AS136119)	1
liqu.id	Akamai Connected Cloud (AS63949)	149
co.id	GOOGLE (AS15169)	7
net.id	CV. Rumahweb Indonesia (AS58487)	2
idcloudhosting.com	Contabo Asia Private Limited (AS141995)	12
