launch.im: 0 route3.mx.cloudflare.net.
play.im: 30 aspmx3.googlemail.com.
play.im: 10 aspmx.l.google.com.
play.im: 20 alt1.aspmx.l.google.com.
play.im: 30 aspmx2.googlemail.com.
play.im: 20 alt2.aspmx.l.google.com.
simplex.im: 10 mail.simplex.im.
fetch.im: 10 alt4.aspmx.l.google.com.
fetch.im: 1 aspmx.l.google.com.
fetch.im: 15 efxvyuxxufgojd4x3eofdo2zlheuhdzjuhuonihwphpzzne2ejza.mx-verification.google.com.
fetch.im: 5 alt2.aspmx.l.google.com.
fetch.im: 5 alt1.aspmx.l.google.com.
fetch.im: 10 alt3.aspmx.l.google.com.
from.im: 42 route2.mx.cloudflare.net.
from.im: 67 route1.mx.cloudflare.net.
from.im: 61 route3.mx.cloudflare.net.
tempmail.im: 0 mail.tempmail.im.
mama.im: 0 .
websites.im: 10 websites.im.
gov.im: 10 gov-im.mail.protection.outlook.com.
turing.im: 1 aspmx.l.google.com.
turing.im: 5 alt2.aspmx.l.google.com.
turing.im: 10 alt4.aspmx.l.google.com.
turing.im: 10 alt3.aspmx.l.google.com.
turing.im: 5 alt1.aspmx.l.google.com.
swagelok.im: 10 swagelok-im.mail.protection.outlook.com.
goods.im: 10 mxw.mxhichina.com.
goods.im: 5 mxn.mxhichina.com.
onyx.im: 5 alt2.aspmx.l.google.com.
onyx.im: 1 aspmx.l.google.com.
onyx.im: 10 alt4.aspmx.l.google.com.
onyx.im: 5 alt1.aspmx.l.google.com.
onyx.im: 10 alt3.aspmx.l.google.com.
chia.im: 30 aspmx3.googlemail.com.
chia.im: 30 aspmx5.googlemail.com.
chia.im: 30 aspmx2.googlemail.com.
chia.im: 10 aspmx.l.google.com.
chia.im: 20 alt2.aspmx.l.google.com.
chia.im: 20 alt1.aspmx.l.google.com.
chia.im: 30 aspmx4.googlemail.com.
brett.im: 13 route2.mx.cloudflare.net.
brett.im: 90 route1.mx.cloudflare.net.
brett.im: 70 route3.mx.cloudflare.net.
north.im: 10 north-im.mail.protection.outlook.com.
ceo.im: 97 route3.mx.cloudflare.net.
ceo.im: 49 route2.mx.cloudflare.net.
ceo.im: 14 route1.mx.cloudflare.net.
gala.im: 20 mailsec.protonmail.ch.
gala.im: 10 mail.protonmail.ch.
singularity.im: 0 .
very.im: 32 route3.mx.cloudflare.net.
very.im: 18 route2.mx.cloudflare.net.
very.im: 23 route1.mx.cloudflare.net.
nocode.im: 0 route2.mx.cloudflare.net.
nocode.im: 0 route3.mx.cloudflare.net.
nocode.im: 0 route1.mx.cloudflare.net.
seed.im: 10 alt4.aspmx.l.google.com.
seed.im: 5 alt1.aspmx.l.google.com.
seed.im: 1 aspmx.l.google.com.
seed.im: 5 alt2.aspmx.l.google.com.
seed.im: 10 alt3.aspmx.l.google.com.
arcadia.im: 10 spool.mail.gandi.net.
arcadia.im: 50 fb.mail.gandi.net.
balloon.im: 0 .
iceberg.im: 0 .
orlando.im: 1 mx1.mail.ovh.net.
orlando.im: 5 mx2.mail.ovh.net.
orlando.im: 100 mx3.mail.ovh.net.
