karma.je: 10 aspmx.l.google.com.
karma.je: 50 alt4.aspmx.l.google.com.
karma.je: 30 alt2.aspmx.l.google.com.
karma.je: 40 alt3.aspmx.l.google.com.
teamviewer.je: 0 .
knight.je: 0 knight-je.mail.protection.outlook.com.
indigo.je: 0 indigo-je.mail.protection.outlook.com.
stats.je: 0 stats-je.mail.protection.outlook.com.
moss.je: 5 alt2.aspmx.l.google.com.
moss.je: 5 alt1.aspmx.l.google.com.
moss.je: 1 aspmx.l.google.com.
moss.je: 10 alt3.aspmx.l.google.com.
moss.je: 10 alt4.aspmx.l.google.com.
cash.je: 20 mx2.emailsrvr.com.
cash.je: 10 mx1.emailsrvr.com.
360.je: null baidu.com.
360.je: 20 mx.baidu.com.
360.je: 10 mx.maillb.baidu.com.
walmart.je: 10 custmx.cscdns.net.
bc.je: 10 mail.protonmail.ch.
bc.je: 20 mailsec.protonmail.ch.
projekt.je: 15 c7xyymfuuppfpgnrooqaseeqgeqduddy4nasdrcdvmcvux2ovrma.mx-verification.google.com.
projekt.je: 1 smtp.google.com.
ivan.je: 0 mail.carriera.io.
dance.je: 1 aspmx.l.google.com.
dance.je: 10 alt4.aspmx.l.google.com.
dance.je: 5 alt2.aspmx.l.google.com.
dance.je: 5 alt1.aspmx.l.google.com.
dance.je: 10 alt3.aspmx.l.google.com.
ja.je: 50 fb.mail.gandi.net.
ja.je: 10 spool.mail.gandi.net.
mycloud.je: 0 mycloud.je.
jason.je: 0 mail.jason.je.
commonsense.je: 10 mx2.netim.net.
commonsense.je: 10 mx1.netim.net.
evolve.je: 0 evolve-je.mail.protection.outlook.com.
cache.je: 10 mail.anonaddy.me.
cache.je: 20 mail2.anonaddy.me.
esim.je: 5 mx1-hosting.jellyfish.systems.
esim.je: 20 mx3-hosting.jellyfish.systems.
esim.je: 10 mx2-hosting.jellyfish.systems.
david.je: 0 david-je.mail.protection.outlook.com.
nature.je: 0 localhost.
physical.je: 0 localhost.
gov.je: 10 gov-je.mail.protection.outlook.com.
zk.je: 20 aspmx4.googlemail.com.
zk.je: 5 aspmx.l.google.com.
zk.je: 20 aspmx2.googlemail.com.
zk.je: 20 aspmx5.googlemail.com.
zk.je: 10 alt2.aspmx.l.google.com.
zk.je: 20 aspmx3.googlemail.com.
zk.je: 10 alt1.aspmx.l.google.com.
jeff.je: 10 mail.protonmail.ch.
jeff.je: 20 mailsec.protonmail.ch.
abode.je: 0 abode-je.mail.protection.outlook.com.
monkey.je: 10 mx2.titan.email.
monkey.je: 5 mx1.titan.email.
vantage.je: 10 d229978.a.ess.uk.barracudanetworks.com.
vantage.je: 20 d229978.b.ess.uk.barracudanetworks.com.
arb.je: 1 smtp.google.com.
skytech.je: 0 skytech-je.mail.protection.outlook.com.
safety.je: 5 alt2.aspmx.l.google.com.
safety.je: 10 alt3.aspmx.l.google.com.
safety.je: 5 alt1.aspmx.l.google.com.
safety.je: 1 aspmx.l.google.com.
safety.je: 10 alt4.aspmx.l.google.com.
sync.je: 0 localhost.
apple.je: 10 apple-je.mail.protection.outlook.com.
akasha.je: 0 akasha-je.mail.protection.outlook.com.
rose.je: 0 rose-je.mail.protection.outlook.com.
vs.je: 10 alt3.aspmx.l.google.com.
