cnn.sc: 10 atlmail0.turner.com.
arbor.sc: 10 alt4.aspmx.l.google.com.
arbor.sc: 1 aspmx.l.google.com.
arbor.sc: 5 alt1.aspmx.l.google.com.
arbor.sc: 5 alt2.aspmx.l.google.com.
arbor.sc: 10 alt3.aspmx.l.google.com.
bitpanda.sc: 0 .
kis.sc: 0 gravity.seymails.com.
kis.sc: 10 apollo.seymails.com.
pardon.sc: 10 mx.zoho.com.
pardon.sc: 50 mx3.zoho.com.
pardon.sc: 20 mx2.zoho.com.
mining.sc: 0 mining-sc.mail.protection.outlook.com.
hofmann.sc: 5 mail.hofmann.sc.
par.sc: 1 mail.pickelhost.com.
apex.sc: 0 apex-sc.mail.protection.outlook.com.
central.sc: 5 alt1.aspmx.l.google.com.
central.sc: 10 alt3.aspmx.l.google.com.
central.sc: 1 aspmx.l.google.com.
central.sc: 10 alt4.aspmx.l.google.com.
central.sc: 5 alt2.aspmx.l.google.com.
exit.sc: 10 spool.mail.gandi.net.
exit.sc: 50 fb.mail.gandi.net.
decathlon.sc: 10 relay1.netnames.net.
decathlon.sc: 100 relay2.netnames.net.
hsi.sc: 0 hsi-sc.mail.protection.outlook.com.
walmart.sc: 10 custmx.cscdns.net.
implant.sc: 100 mail.implant.sc.
redemption.sc: 1 aspmx.l.google.com.
redemption.sc: 5 alt1.aspmx.l.google.com.
redemption.sc: 10 alt4.aspmx.l.google.com.
redemption.sc: 10 alt3.aspmx.l.google.com.
redemption.sc: 5 alt2.aspmx.l.google.com.
labyrinth.sc: 1 labyrinth.sc.
ward.sc: 5 alt2.aspmx.l.google.com.
ward.sc: 10 alt4.aspmx.l.google.com.
ward.sc: 5 alt1.aspmx.l.google.com.
ward.sc: 10 alt3.aspmx.l.google.com.
ward.sc: 1 aspmx.l.google.com.
iptv.sc: 50 mx3.zoho.eu.
iptv.sc: 20 mx2.zoho.eu.
iptv.sc: 10 mx.zoho.eu.
ads.sc: 50 mx3.zoho.com.
ads.sc: 10 mx.zoho.com.
ads.sc: 20 mx2.zoho.com.
ssl.sc: 50 mail2.ssl.sc.
ssl.sc: 10 mail.ssl.sc.
pipe.sc: 5 alt1.aspmx.l.google.com.
pipe.sc: 10 alt4.aspmx.l.google.com.
pipe.sc: 1 aspmx.l.google.com.
pipe.sc: 10 alt3.aspmx.l.google.com.
pipe.sc: 5 alt2.aspmx.l.google.com.
arw.sc: 0 .
mr.sc: 1 aspmx.l.google.com.
mr.sc: 5 alt1.aspmx.l.google.com.
mr.sc: 5 alt2.aspmx.l.google.com.
mr.sc: 10 alt3.aspmx.l.google.com.
mr.sc: 10 alt4.aspmx.l.google.com.
fish.sc: 40 mx3.name.com.
fish.sc: 60 mx4.name.com.
fish.sc: 30 mx7.name.com.
fish.sc: 50 mx5.name.com.
fish.sc: 10 mx6.name.com.
fish.sc: 20 mx8.name.com.
cross.sc: 1 aspmx.l.google.com.
cross.sc: 10 alt3.aspmx.l.google.com.
cross.sc: 5 alt1.aspmx.l.google.com.
cross.sc: 10 alt4.aspmx.l.google.com.
cross.sc: 5 alt2.aspmx.l.google.com.
xray.sc: 10 mx.xray.sc.
empire.sc: 1 smtp.google.com.
mod.sc: 0 mod-sc.mail.protection.outlook.com.
sommer.sc: 10 mail.variomedia.de.
alexandria.sc: 1 aspmx.l.google.com.
alexandria.sc: 5 alt2.aspmx.l.google.com.
alexandria.sc: 5 alt1.aspmx.l.google.com.
alexandria.sc: 10 alt4.aspmx.l.google.com.
alexandria.sc: 10 alt3.aspmx.l.google.com.
pop.sc: 0 mail.pop.sc.
soft.sc: 10 rm.soft.sc.
spica.sc: 10 spool.mail.gandi.net.
spica.sc: 50 fb.mail.gandi.net.
imaginarium.sc: 10 mx.yandex.net.
dots.sc: 5 alt1.aspmx.l.google.com.
dots.sc: 10 alt4.aspmx.l.google.com.
dots.sc: 5 alt2.aspmx.l.google.com.
dots.sc: 10 alt3.aspmx.l.google.com.
dots.sc: 1 aspmx.l.google.com.
zion.sc: 1 mail.pickelhost.com.
melbet.sc: 10 alt4.aspmx.l.google.com.
melbet.sc: 5 alt1.aspmx.l.google.com.
melbet.sc: 1 aspmx.l.google.com.
melbet.sc: 10 alt3.aspmx.l.google.com.
melbet.sc: 5 alt2.aspmx.l.google.com.
apply.sc: 10 mx1.forwardemail.net.
apply.sc: 10 mx2.forwardemail.net.
vera.sc: 19 route2.mx.cloudflare.net.
vera.sc: 7 route3.mx.cloudflare.net.
vera.sc: 10 route1.mx.cloudflare.net.
bhs.sc: 20 mx2-us1.ppe-hosted.com.
bhs.sc: 10 mx1-us1.ppe-hosted.com.
libra.sc: 1 aspmx.l.google.com.
libra.sc: 10 aspmx3.googlemail.com.
libra.sc: 5 alt1.aspmx.l.google.com.
libra.sc: 10 aspmx2.googlemail.com.
libra.sc: 5 alt2.aspmx.l.google.com.
jake.sc: 10 mail.protonmail.ch.
jake.sc: 20 mailsec.protonmail.ch.
fri.sc: 10 slurpee.empirezero.net.
chinese.sc: 25 route3.mx.cloudflare.net.
chinese.sc: 100 route2.mx.cloudflare.net.
chinese.sc: 70 route1.mx.cloudflare.net.
di.sc: 20 mailsec.protonmail.ch.
di.sc: 10 mail.protonmail.ch.
entropy.sc: 5 mta-gw.infomaniak.ch.
near.sc: 1 mail.pickelhost.com.
plc.sc: 5 mx1.titan.email.
plc.sc: 10 mx2.titan.email.
rbt.sc: 10 custmx.cscdns.net.
sym.sc: 28 route1.mx.cloudflare.net.
sym.sc: 100 route2.mx.cloudflare.net.
sym.sc: 17 route3.mx.cloudflare.net.
morganstanley.sc: 10 mx.dnsassurance.com.
morganstanley.sc: 0 .
zurich.sc: 10 custmx.cscdns.net.
burton.sc: 5 mx1.hostinger.com.
burton.sc: 10 mx2.hostinger.com.
bas.sc: 50 mx3.zoho.com.
bas.sc: 20 mx2.zoho.com.
bas.sc: 10 mx.zoho.com.
ellipsis.sc: 1 smtp.google.com.
betsson.sc: 0 .
functional.sc: 10 spool.mail.gandi.net.
functional.sc: 50 fb.mail.gandi.net.
kal.sc: 20 mx2.titan.email.
kal.sc: 10 mx1.titan.email.
elephant.sc: 5 alt1.aspmx.l.google.com.
elephant.sc: 1 aspmx.l.google.com.
elephant.sc: 5 alt2.aspmx.l.google.com.
elephant.sc: 10 alt4.aspmx.l.google.com.
elephant.sc: 10 alt3.aspmx.l.google.com.
xor.sc: 10 mail.protonmail.ch.
vitality.sc: 5 mx1.hostinger.com.
vitality.sc: 10 mx2.hostinger.com.
barracuda.sc: 10 custmx.cuda-inc.com.
wallpaper.sc: 0 _dc-mx.b0e48445fa36.wallpaper.sc.
mammamia.sc: 0 mammamia-sc.mail.protection.outlook.com.
agave.sc: 20 mailsec.protonmail.ch.
agave.sc: 10 mail.protonmail.ch.
coastal.sc: 0 coastal-sc.mail.protection.outlook.com.
thebase.sc: 5 alt1.aspmx.l.google.com.
thebase.sc: 10 aspmx2.googlemail.com.
thebase.sc: 5 alt2.aspmx.l.google.com.
thebase.sc: 1 aspmx.l.google.com.
thebase.sc: 10 aspmx3.googlemail.com.
naval.sc: 1 mx1.mail.ovh.net.
naval.sc: 10 mx3.mail.ovh.net.
naval.sc: 5 mx2.mail.ovh.net.
nas.sc: 10 alt3.aspmx.l.google.com.
nas.sc: 1 aspmx.l.google.com.
nas.sc: 5 alt1.aspmx.l.google.com.
nas.sc: 5 alt2.aspmx.l.google.com.
nas.sc: 10 alt4.aspmx.l.google.com.
fixit.sc: 0 gravity.seymails.com.
fixit.sc: 10 apollo.seymails.com.
robomarkets.sc: 10 mail.robomarkets.sc.
phi.sc: 10 spool.mail.gandi.net.
phi.sc: 50 fb.mail.gandi.net.
richter.sc: 5 mail.richter.sc.
footprints.sc: 20 mx2.zoho.com.
footprints.sc: 50 mx3.zoho.com.
footprints.sc: 10 mx.zoho.com.
trifecta.sc: 10 mx.zoho.com.
trifecta.sc: 50 mx3.zoho.com.
trifecta.sc: 20 mx2.zoho.com.
saf.sc: 15 mx3.egov.sc.
sbs.sc: 0 sbs-sc.mail.protection.outlook.com.
kaboom.sc: 10 alt4.aspmx.l.google.com.
kaboom.sc: 5 alt1.aspmx.l.google.com.
kaboom.sc: 1 aspmx.l.google.com.
kaboom.sc: 5 alt2.aspmx.l.google.com.
kaboom.sc: 10 alt3.aspmx.l.google.com.
sgi.sc: 10 mx1.titan.email.
sgi.sc: 20 mx2.titan.email.
mio.sc: 100 3aa2eef04760d64391e39b5243dc2e.msv1.invalid.
mio.sc: 10 3aa2eef04760d64391e39b5243dc2e.pamx1.hotmail.com.
cnc.sc: 0 cnc-sc.mail.protection.outlook.com.
text.sc: 10 mx00.udag.de.
text.sc: 20 mx01.udag.de.
techzone.sc: 20 mx2.titan.email.
techzone.sc: 10 mx1.titan.email.
bao.sc: 10 fb.mail.gandi.net.
bao.sc: 10 spool.mail.gandi.net.
air.sc: 0 .
cannabis.sc: 0 .
nic.sc: 0 nic-sc.mail.protection.outlook.com.
chatgpt.sc: 0 .
safe.sc: 0 .
drc.sc: 5 alt1.aspmx.l.google.com.
drc.sc: 5 alt2.aspmx.l.google.com.
drc.sc: 10 alt4.aspmx.l.google.com.
drc.sc: 1 aspmx.l.google.com.
drc.sc: 10 alt3.aspmx.l.google.com.
men.sc: 0 .
henry.sc: 10 mx00.ionos.co.uk.
henry.sc: 10 mx01.ionos.co.uk.
vegan.sc: 0 .
oms.sc: 10 mx00.udag.de.
oms.sc: 20 mx01.udag.de.
google.sc: 0 smtp.google.com.
myfamily.sc: 10 relay1.netnames.net.
myfamily.sc: 100 relay2.netnames.net.
goto.sc: 10 goto.sc.
clothing.sc: 10 mx00.udag.de.
clothing.sc: 20 mx01.udag.de.
graf.sc: 10 smx00.udag.de.
graf.sc: 10 smx01.udag.de.
mcb.sc: 0 mcb-sc.mail.protection.outlook.com.
hdrezka.sc: 0 localhost.
art.sc: 0 .
cmc.sc: 10 mx00.kundenserver.de.
cmc.sc: 10 mx01.kundenserver.de.
sgc.sc: 10 mx2.hostinger.com.
sgc.sc: 5 mx1.hostinger.com.
roar.sc: 50 mx3.zoho.com.
roar.sc: 10 mx.zoho.com.
roar.sc: 20 mx2.zoho.com.
icmarkets.sc: 1 aspmx.l.google.com.
icmarkets.sc: 10 alt4.aspmx.l.google.com.
icmarkets.sc: 5 alt1.aspmx.l.google.com.
icmarkets.sc: 10 alt3.aspmx.l.google.com.
icmarkets.sc: 5 alt2.aspmx.l.google.com.
altria.sc: 10 custmx.cscdns.net.
sma.sc: 20 mailsec.protonmail.ch.
sma.sc: 10 mail.protonmail.ch.
football.sc: 0 localhost.
dmc.sc: 10 mx01.ionos.de.
dmc.sc: 10 mx00.ionos.de.
habibi.sc: 10 mail.habibi.sc.
bitdefender.sc: 10 mx11.bitdefender.com.
bitdefender.sc: 10 mx12.bitdefender.com.
horn.sc: 10 smx00.udag.de.
horn.sc: 10 smx01.udag.de.
insurance.sc: 0 .
imaging.sc: 10 mx00.kundenserver.de.
imaging.sc: 10 mx01.kundenserver.de.
188bet.sc: 10 mail.188bet.sc.
asos.sc: 20 relay2.netnames.net.
asos.sc: 10 relay1.netnames.net.
godaddy.sc: 0 .
firma.sc: 10 mx00.ionos.de.
firma.sc: 10 mx01.ionos.de.
hilltop.sc: 20 mx01.udag.de.
hilltop.sc: 10 mx00.udag.de.
heller.sc: 10 smx00.udag.de.
heller.sc: 10 smx01.udag.de.
euro.sc: 1 mx.euro.sc.cust.b.hostedemail.com.
house.sc: 0 .
play.sc: null cname.bitly.com.
fitness.sc: 10 smx00.udag.de.
fitness.sc: 10 smx01.udag.de.
dlp.sc: 10 inbound-smtp.us-east-1.amazonaws.com.
itc.sc: 10 mx00.udag.de.
itc.sc: 20 mx01.udag.de.
bcm.sc: 20 a.mx.domainoo.fr.
radio.sc: 0 radio-sc.mail.protection.outlook.com.
yacht.sc: 0 .
rts.sc: 10 mx01.ionos.co.uk.
rts.sc: 10 mx00.ionos.co.uk.
stone.sc: 20 mx01.udag.de.
stone.sc: 10 mx00.udag.de.
apollo.sc: 20 alt1.aspmx.l.google.com.
apollo.sc: 70 aspmx5.googlemail.com.
apollo.sc: 40 aspmx2.googlemail.com.
apollo.sc: 60 aspmx4.googlemail.com.
apollo.sc: 10 aspmx.l.google.com.
apollo.sc: 30 alt2.aspmx.l.google.com.
apollo.sc: 50 aspmx3.googlemail.com.
artenika.sc: 10 mx1.netim.net.
artenika.sc: 10 mx2.netim.net.
goodtimes.sc: 10 alt1.aspmx.l.google.com.
goodtimes.sc: 20 alt3.aspmx.l.google.com.
goodtimes.sc: 10 alt2.aspmx.l.google.com.
goodtimes.sc: 20 alt4.aspmx.l.google.com.
goodtimes.sc: 1 aspmx.l.google.com.
rtc.sc: 10 inbound-smtp.us-east-1.amazonaws.com.
soccer.sc: 20 mx01.udag.de.
soccer.sc: 10 mx00.udag.de.
salt.sc: 0 mail.salt.sc.
yas.sc: 0 .
gid.sc: 10 mail.gid.sc.
kiefer.sc: 0 kiefer-sc.mail.protection.outlook.com.
bluehorizon.sc: 5 mx1.hostinger.com.
bluehorizon.sc: 10 mx2.hostinger.com.
mua.sc: 10 mua.in.tmes.trendmicro.eu.
nos.sc: 10 mail.cdmon.net.
neuron.sc: 10 teddy.neuron.sc.
experts.sc: 10 mail.experts.sc.
berger.sc: 10 mail.berger.sc.
banks.sc: 5 d129864a.ess.barracudanetworks.com.
banks.sc: 10 d129864b.ess.barracudanetworks.com.
shot.sc: 0 .
eckert.sc: 50 mx4.agenturserver.de.
eckert.sc: 10 mx1.agenturserver.de.
eckert.sc: 10 mx2.agenturserver.de.
eckert.sc: 20 mx3.agenturserver.de.
alphatrade.sc: 5 hosting.nybbletech.com.
travels.sc: 10 mx00.ionos.es.
travels.sc: 10 mx01.ionos.es.
cultivate.sc: 0 cultivate.sc.
skyscanner.sc: 0 .
plutus.sc: 0 mail.plutus.sc.
zhang.sc: 10 aspmx2.googlemail.com.
zhang.sc: 10 aspmx3.googlemail.com.
zhang.sc: 5 alt1.aspmx.l.google.com.
zhang.sc: 10 aspmx4.googlemail.com.
zhang.sc: 1 aspmx.l.google.com.
zhang.sc: 10 aspmx5.googlemail.com.
zhang.sc: 5 alt2.aspmx.l.google.com.
weiss.sc: 10 mail.weiss.sc.
cre.sc: 100 mail.cre.sc.
image.sc: 20 mx2.improvmx.com.
image.sc: 10 mx1.improvmx.com.
dell.sc: 10 smtp.ins.dell.com.
the.sc: 10 alt4.aspmx.l.google.com.
the.sc: 10 alt3.aspmx.l.google.com.
the.sc: 5 alt2.aspmx.l.google.com.
the.sc: 5 alt1.aspmx.l.google.com.
the.sc: 1 aspmx.l.google.com.
