=== 数据来源: uy ===
  MX: perlink.uy                        1   3.12%

[NS 提供商] AS-30083-US-VELIA-NET，域名数 29
  MX: mundomac.net                      6  20.69%
  MX: GOOGLE                            2   6.90%
  MX: ZOHO-AS                           2   6.90%
  MX: eikeel.uy                         1   3.45%
  MX: miedificio.uy                     1   3.45%

[NS 提供商] BUNNYWAY, informacijske storitve d.o.o.，域名数 29
  MX: desarrollo.uy                     1   3.45%
  MX: umastore.uy                       1   3.45%
  MX: teddiestoys.uy                    1   3.45%
  MX: jmontevideo.uy                    1   3.45%
  MX: ao.uy                             1   3.45%

[NS 提供商] NL-811-40021，域名数 28
  MX: GOOGLE                            2   7.14%
  MX: traductor.uy                      1   3.57%
  MX: knockout.uy                       1   3.57%
  MX: traductorpublico.uy               1   3.57%
  MX: traduccionpublica.uy              1   3.57%

[NS 提供商] cloudns.net，域名数 27
  MX: GOOGLE                            6  22.22%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       4  14.81%
  MX: cloudns.net                       3  11.11%
  MX: ZOHO-AS                           3  11.11%
  MX: Proton AG                         2   7.41%

[NS 提供商] net.uy，域名数 27
  MX: com.uy                           16  59.26%
  MX: GOOGLE                            2   7.41%
  MX: net.uy                            2   7.41%
  MX: comprobantes.uy                   1   3.70%
  MX: joy.uy                            1   3.70%

[NS 提供商] LIQUIDWEB，域名数 27
  MX: rioazul.uy                        1   3.70%
  MX: ctpower.uy                        1   3.70%
  MX: suzuki.uy                         1   3.70%
  MX: ayax.uy                           1   3.70%
  MX: fosapp.uy                         1   3.70%

[NS 提供商] Safenames Ltd.，域名数 25
  MX: Safenames Ltd.                   21  84.00%
  MX: SECURITYSERVICES                  1   4.00%
  MX: pphosted.com                      1   4.00%
  MX: champion.uy                       1   4.00%
  MX: mimecast.com                      1   4.00%

[NS 提供商] nameshield.net，域名数 25
  MX: Nameshield SAS                   22  88.00%
  MX: boehringer-ingelheim.com          2   8.00%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       1   4.00%

[NS 提供商] com.br，域名数 23
  MX: com.br                            6  26.09%
  MX: AUTOMATTIC                        3  13.04%
  MX: uni5.net                          2   8.70%
  MX: campofrio.uy                      1   4.35%
  MX: superbid.uy                       1   4.35%

[NS 提供商] GOOGLE-CLOUD-PLATFORM，域名数 23
  MX: 20i Limited                      21  91.30%
  MX: GOOGLE                            1   4.35%
  MX: dtctty.com                        1   4.35%

[NS 提供商] supremedns.com，域名数 23
